id;name;nif;address;phone
1;lime Computer;Savings red Realigned;Corporate;37777
2;Tactics;Groves pixel;withdrawal synergies;398
3;interactive Buckinghamshire;Human;invoice blue;78081
4;generation Denar;Computers cyan optical;neural-net;87253
5;Fantastic Operative Investment;web Computer;Consultant;58056
6;reboot cultivate;reinvent innovate;Assistant;95566
7;incremental azure SDD;bypassing override invoice;payment;87512
8;bleeding-edge purple Highway;bus;Human sensor;47556
9;ROI Seamless;Program Hat olive;Robust Small optical;55760
10;Marketing;Fantastic edge;even-keeled Alabama Account;88728
